Year,State,Governor
2007,New Jersey,Jon Corzine (D)
2007,New Mexico,Bill Richardson (D)
2007,New York,Eliot Spitzer (D)
2007,North Carolina,Mike F. Easley  (D)
2007,North Dakota,John Hoeven (R)
2007,Northern Mariana Is.,Benígno Fitial (Covenant)
2007,Ohio,Ted Strickland (D)
2007,Oklahoma,Brad Henry (D)
2007,Oregon,Ted Kulongoski (D)
2007,Pennsylvania,Edward G. Rendell (D)
2007,Puerto Rico,Aníbal Acevedo Vilá  (D)
2007,Rhode Island,Don Carcieri (R)
2007,South Carolina,Mark Sanford (R)
2007,South Dakota,Mike Rounds (R)
2007,Tennessee,Phil Bredesen (D)
2007,Texas,Rick Perry (R)
2007,Utah,"Jon Huntsman, Jr. (R)"
2007,Vermont,Jim Douglas (R)
2007,Virginia,Tim Kaine (D)
2007,Virgin Islands,"John deJongh, Jr. (D)"
2007,Washington,Chris Gregoire (D)
2007,West Virginia,Joe Manchin III (D)
2007,Wisconsin,Jim Doyle (D)
2007,Wyoming,Dave Freudenthal (D)
2006,Alabama,Bob Riley (R)
2006,Alaska,Sarah Palin (R)
2006,American Samoa,Togiola T.A. Tulafono (D)
2006,Arizona,Janet Napolitano (D)
2006,Arkansas,Mike Huckabee (R)
2006,California,Arnold Schwarzenegger (R)
2006,Colorado,Bill Owens (R)
2006,Connecticut,M. Jodi Rell (R)
2006,Delaware,Ruth Ann Minner (D)
2006,Florida,Jeb Bush (R)
2006,Georgia,Sonny Perdue (R)
2006,Guam,Felix Perez Camacho (R)
2006,Hawaii,Linda Lingle (R)
2006,Idaho,James E. Risch  (R)
2006,Illinois,Rod Blagojevich (D)
2006,Indiana,Mitch Daniels (R)
2006,Iowa,Tom Vilsack (D)
2006,Kansas,Kathleen Sebelius (D)
2006,Kentucky,Ernie Fletcher (R)
2006,Louisiana,Kathleen Babineaux Blanco  (D)
2006,Maine,John Baldacci (D)
2006,Maryland,Robert Ehrlich (R)
2006,Massachusetts,Mitt Romney (R)
2006,Michigan,Jennifer Granholm (D)
2006,Minnesota,Tim Pawlenty (R )
2006,Mississippi,Haley Barbour (R)
2006,Missouri,Matt Blunt (R)
2006,Montana,Brian Schweitzer (D)
2006,Nebraska,Dave Heineman (R)
2006,Nevada,Kenny C. Guinn (R)
2006,New Hampshire,John Lynch  (D)
2006,New Jersey,Jon Corzine (D)
2006,New Mexico,Bill Richardson (D)
2006,New York,George E. Pataki (R)
2006,North Carolina,Michael F. Easley  (D)
2006,North Dakota,John Hoeven (R)
2006,Northern Mariana Is.,Benígno Fitial (Covenant)
2006,Ohio,Bob Taft (R)
2006,Oklahoma,Brad Henry (D)
2006,Oregon,Ted Kulongoski (D)
2006,Pennsylvania,Edward G. Rendell (D)
2006,Puerto Rico,Aníbal Acevedo Vilá  (D)
2006,Rhode Island,Don Carcieri (R)
2006,South Carolina,Mark Sanford (R)
2006,South Dakota,Michael Rounds (R)
2006,Tennessee,Phil Bredesen (D)
2006,Texas,Rick Perry (R)
2006,Utah,"Jon Huntsman, Jr. (R)"
2006,Vermont,Jim Douglas (R)
2006,Virginia,Tim Kaine (D)
2006,Virgin Islands,Charles W. Turnbull (D)
2006,Washington,Christine Gregoire (D)
2006,West Virginia,Joe Manchin III (D)
2006,Wisconsin,Jim Doyle (D)
2006,Wyoming,David Freudenthal (D)
2005,Alabama,Bob Riley (R)
2005,Alaska,Frank Murkowski (R)
2005,American Samoa,Togiola T.A. Tulafono (D)
2005,Arizona,Janet Napolitano (D)
2005,Arkansas,Mike Huckabee (R)
2005,California,Arnold ScInvarzenegger (R)
2005,Colorado,Bill Owens (R)
2005,Connecticut,M. Jodi Rell (R)
2005,Delaware,Ruth Ann Minner (D)
2005,Florida,Jeb Bush (R)
2005,Georgia,Sonny Perdue (R)
2005,Guam,Felix Perez Camacho (R)
2005,Hawaii,Linda Lingle (R)
2005,Idaho,Dirk Kempthorne (R)
2005,Illinois,Rod Blagojevich (D)
2005,Indiana,Mitch Daniels (R)
2005,Iowa,Tom Vilsack (D)
2005,Kansas,Kathleen Sebelius (D)
2005,Kentucky,Ernie Fletcher (R)
2005,Louisiana,Kathleen Babineaux Blanco (D)
2005,Maine,John Baldacci (D)
2005,Maryland,Robert Ehrlich (R)
2005,Massachusetts,Mitt Romney (R)
2005,Michigan,Jennifer Granholm (D)
2005,Minnesota,Tim Pawlenty (R)
2005,Mississippi,Haley Barbour (R)
2005,Missouri,Mart Blunt (R)
2005,Montana,Brian Schweitzer (D)
2005,Nebraska,Dave Heineman (R)
2005,Nevada,Kenny C. Guinn (R)
2005,New Hampshire,John Lynch (D)
2005,New Jersey,Richard Code)/ (D)
2005,New Mexico,Bill Richardson (D)
2005,New York,George E. Pataki (R)
2005,North Carolina,Michael F. Easley (D)
2005,North Dakota,John Hoeven (R)
2005,Northern Mariana Is.,Juan N. Babauta (R)
2005,Ohio,Bob Taft (R)
2005,Oklahoma,Brad Henry (D)
2005,Oregon,Ted Kulongoski (D)
2005,Pennsylvania,Edward G. Randall (D)
2005,Puerto Rico,Anibal Acevedo Vila (PDP)
2005,Rhode Island,Don Carder: (R)
2005,South Carolina,Mark Sanford (R)
2005,South Dakota,Michael Rounds (R)
2005,Tennessee,Phil Bredesen (D)
2005,Texas,Rick Perry (R)
2005,Utah,"Jon Huntsman, Jr. (R)"
2005,Vermont,Jim Douglas (R)
2005,Virginia,Mark R. Warner (D)
2005,Virgin Islands,Charles W. Turnbull (D)
2005,Washington,Christine Gregoire (D)
2005,West Virginia,Joe Manchin III (D)
2005,Wisconsin,Jim Doyle (D)
2005,Wyoming,David Freudenthal (D)
2004,Alabama,Bob Riley (R)
2004,Alaska,Frank Murkawski (R)
2004,American Samoa,Togiola T A. Tulafono (D)
2004,Arizona,Janet Napolitano (D)
2004,Arkansas,Mike Huckabee (R)
2004,California,Arnold Schwarzenegger (R)
2004,Colorado,Bill Owens (R)
2004,Connecticut,M. Jodi Re!! (R)
2004,Delaware,Ruth Ann Minner (D)
2004,Florida,Jeb Bush (R)
2004,Georgia,Sonny Perdue (R)
2004,Guam,Felix Perez Camacho (R)
2004,Hawaii,Linda Lingle (R)
2004,Idaho,Dirk Kempthorne (R)
2004,Illinois,Rod Blagojevich (D)
2004,Indiana,Joseph E Kaman (D)
2004,Iowa,Tom Vilsack (D)
2004,Kansas,Kathleen Sabel ius (D)
2004,Kentucky,Ernie Fletcher (R)
2004,Louisiana,Kathleen Babineaux Blanco (D)
2004,Maine,John Baldacci (D)
2004,Maryland,Robert Ehrlich (R)
2004,Massachusetts,Mitt Romney (R)
2004,Michigan,Jennifer Granholm (D)
2004,Minnesota,Tim Pawlenty (R)
2004,Mississippi,Haley Barbour (R)
2004,Misiouri,Bob Holden (D)
2004,Montana,Judy Martz (R)
2004,Nebraska,Mike Johanns (R)
2004,Nevada,Kenny C. Guinn (R)
2004,New Hampshire,Craig Benson (R)
2004,New Jersey,Richard Codey (D)
2004,New Mexico,Bill Richardson (D)
2004,New York,George E. Fatah (R)
2004,North Carolina,Michael F. Easley (D)
2004,North Dakota,John Hoeven (R)
2004,Northern Mariana Is.,Juan N. Babauta (R)
2004,Ohio,Bob Taft (R)
2004,Oklahoma,Brad Henry (D)
2004,Oregon,Ted Kulongoski (D)
2004,Pennsylvania,Edward G. Randall (D)
2004,Puerto Rico,Sila M. Calderon (PD)
2004,Rhode Island,Don Carcieri (R)
2004,South Carolina,Mark Sanford (R)
2004,South Dakota,Michael Rounds (R)
2004,Tennessee,Phil Bredesen (D)
2004,Texas,Rick Perry (R)
2004,Utah,Olene Walker (R)
2004,Vermont,Jim Douglas (R)
2004,Virginia,Mark R. Warner (D)
2004,Virgin Islands,Charles W. Turnbull (D)
2004,Washington,Gary Locke (D)
2004,West Virginia,Bob Wise (D)
2004,Wisconsin,Jim Doyle (D)
2004,Wyoming,David Freudenthal (D)
2003,Alabama,Bob Riley (R)
2003,Alaska,Frank Murkcnvski (R)
2003,American Samoa,Togiola T.A. Tulafono (D)
2003,Arizona,Janet Napolitano (D)
2003,Arkansas,Mike Mickabee (R)
2003,California,Arnold Schwanenegger (R)
2003,Colorado,Bill Owens (R)
2003,Connecticut,John G. Rowland (R)
2003,Delaware,Ruth Ann Nlinner (D)
2003,Florida,Jeb Bush (R)
2003,Georgia,Sonny Perdue (R)
2003,Guam,Felix Perez Camacho (R)
2003,Hawaii,Linda Lingle (R)
2003,Idaho,Dirk Kempthorne (R)
2003,Illinois,Rod Blagojevich (D)
2003,Indiana,Joseph E. Kernan (D)
2003,Iowa,Tom Vilsack (D)
2003,Kansas,Kathleen Sebelius (D)
2003,Kentucky,Paul E. Patton (D)
