industry_code,industry,national_fatals_total,states_fatals_sum,pct_coverage,all_states_count,fatal_states_count
3334XX,"Ventilation, Heating, Air-Conditioning, And Commercial Refrigeration Equipment Manufacturing",19,1,5.263157894736842105,48,1
4232XX,Furniture And Home Furnishing Merchant Wholesalers,19,1,5.263157894736842105,50,1
42493X,"Flower, Nursery Stock, And Florists' Supplies Merchant Wholesalers",19,1,5.263157894736842105,51,1
71113X,Musical Groups And Artists,38,2,5.263157894736842105,52,2
72231X,Food Service Contractors,19,1,5.263157894736842105,52,1
32221X,Paperboard Container Manufacturing,36,2,5.555555555555555556,47,2
56162X,Security Systems Services,36,2,5.555555555555555556,52,2
31199X,All Other Food Manufacturing,17,1,5.882352941176470588,48,1
32621X,Tire Manufacturing,17,1,5.882352941176470588,38,1
33711X,Wood Kitchen Cabinet And Countertop Manufacturing,17,1,5.882352941176470588,50,1
42441X,General Line Grocery Merchant Wholesalers,85,5,5.882352941176470588,52,4
42448X,Fresh Fruit And Vegetable Merchant Wholesalers,51,3,5.882352941176470588,50,3
72232X,Caterers,17,1,5.882352941176470588,52,1
42512X,Wholesale Trade Agents And Brokers,67,4,5.970149253731343284,51,1
23839X,Other Building Finishing Contractors,50,3,6,52,2
42345X,"Medical, Dental, And Hospital Equipment And Supplies Merchant Wholesalers",33,2,6.060606060606060606,52,2
49313X,Farm Product Warehousing And Storage,33,2,6.060606060606060606,39,2
5418XX,Advertising And Related Services,65,4,6.153846153846153846,52,2
32121X,"Veneer, Plywood, And Engineered Wood Product Manufacturing",48,3,6.25,49,1
3212XX,"Veneer, Plywood, And Engineered Wood Product Manufacturing",48,3,6.25,49,1
3222XX,Converted Paper Product Manufacturing,64,4,6.25,45,3
5241XX,Insurance Carriers,32,2,6.25,52,2
54131X,Architectural Services,16,1,6.25,52,1
81293X,Parking Lots And Garages,16,1,6.25,51,1
61162X,Sports And Recreation Instruction,47,3,6.382978723404255319,52,2
11292X,Horses And Other Equine Production,62,4,6.451612903225806452,41,1
4234XX,Professional And Commercial Equipment And Supplies Merchant Wholesalers,76,5,6.578947368421052632,52,5
32531X,Fertilizer Manufacturing,15,1,6.666666666666666667,42,1
3312XX,Steel Product Manufacturing From Purchased Steel,30,2,6.666666666666666667,39,2
332312,Fabricated Structural Metal Manufacturing,90,6,6.666666666666666667,51,4
332813,"Electroplating, Plating, Polishing, Anodizing, And Coloring",15,1,6.666666666666666667,48,1
42331X,"Lumber, Plywood, Millwork, And Wood Panel Merchant Wholesalers",15,1,6.666666666666666667,50,1
42385X,Service Establishment Equipment And Supplies Merchant Wholesalers,15,1,6.666666666666666667,52,1
515XXX,Broadcasting (Except Internet),45,3,6.666666666666666667,52,3
9231XX,Administration Of Human Resource Programs,45,3,6.666666666666666667,52,3
923XXX,Administration Of Human Resource Programs,45,3,6.666666666666666667,52,3
21232X,"Sand, Gravel, Clay, And Ceramic And Refractory Minerals Mining And Quarrying",73,5,6.849315068493150685,49,5
212321,Construction Sand And Gravel Mining,58,4,6.896551724137931034,45,4
33231X,Plate Work And Fabricated Structural Product Manufacturing,130,9,6.923076923076923077,51,4
221111,Hydroelectric Power Generation,14,1,7.142857142857142857,35,1
331513,Steel Foundries (Except Investment),14,1,7.142857142857142857,24,1
44311X,"Appliance, Television, And Other Electronics Stores",42,3,7.142857142857142857,52,1
48831X,Port And Harbor Operations,14,1,7.142857142857142857,27,1
53241X,"Construction, Transportation, Mining, And Forestry Machinery And Equipment Rental And Leasing",56,4,7.142857142857142857,52,3
62412X,Services For The Elderly And Persons With Disabilities,42,3,7.142857142857142857,52,3
3371XX,Household And Institutional Furniture And Kitchen Cabinet Manufacturing,55,4,7.272727272727272727,50,2
532412,"Construction, Mining, And Forestry Machinery And Equipment Rental And Leasing",41,3,7.317073170731707317,50,2
4532XX,"Office Supplies, Stationery, And Gift Stores",27,2,7.407407407407407407,52,2
5221XX,Depository Credit Intermediation,80,6,7.5,52,4
8122XX,Death Care Services,53,4,7.547169811320754717,52,4
21239X,Other Nonmetallic Mineral Mining And Quarrying,13,1,7.692307692307692308,34,1
311811,Retail Bakeries,13,1,7.692307692307692308,47,1
453991,Tobacco Stores,13,1,7.692307692307692308,52,1
54132X,Landscape Architectural Services,13,1,7.692307692307692308,52,1
812332,Industrial Launderers,13,1,7.692307692307692308,47,1
5619XX,Other Support Services,77,6,7.792207792207792208,52,4
42382X,Farm And Garden Machinery And Equipment Merchant Wholesalers,64,5,7.8125,50,5
311611,Animal (Except Poultry) Slaughtering,25,2,8,45,2
7111XX,Performing Arts Companies,75,6,8,52,5
81121X,Electronic And Precision Equipment Repair And Maintenance,37,3,8.108108108108108108,52,3
8112XX,Electronic And Precision Equipment Repair And Maintenance,37,3,8.108108108108108108,52,3
523XXX,"Securities, Commodity Contracts, And Other Financial Investments And Related Activities",49,4,8.16326530612244898,52,1
336211,Motor Vehicle Body Manufacturing,12,1,8.333333333333333333,43,1
44411X,Home Centers,72,6,8.333333333333333333,51,3
5414XX,Specialized Design Services,12,1,8.333333333333333333,52,1
54194X,Veterinary Services,24,2,8.333333333333333333,52,2
561431,Private Mail Centers,12,1,8.333333333333333333,50,1
6241XX,Individual And Family Services,118,10,8.474576271186440678,52,5
71151X,"Independent Artists, Writers, And Performers",58,5,8.620689655172413793,51,4
7115XX,"Independent Artists, Writers, And Performers",58,5,8.620689655172413793,51,4
5324XX,Commercial And Industrial Machinery And Equipment Rental And Leasing,81,7,8.641975308641975309,52,4
23829X,Other Building Equipment Contractors,113,10,8.849557522123893805,52,4
56171X,Exterminating And Pest Control Services,45,4,8.888888888888888889,52,4
238991,All Other Residential Specialty Trade Contractors,56,5,8.928571428571428571,52,2
31211X,Soft Drink And Ice Manufacturing,56,5,8.928571428571428571,50,3
48599X,Other Transit And Ground Passenger Transportation,56,5,8.928571428571428571,52,3
4859XX,Other Transit And Ground Passenger Transportation,56,5,8.928571428571428571,52,3
1124XX,Sheep And Goat Farming,22,2,9.090909090909090909,21,1
221112,Fossil Fuel Electric Power Generation,44,4,9.090909090909090909,49,4
336612,Boat Building,11,1,9.090909090909090909,40,1
42321X,Furniture Merchant Wholesalers,11,1,9.090909090909090909,49,1
53113X,Lessors Of Miniwarehouses And Self-Storage Units,11,1,9.090909090909090909,52,1
54137X,Surveying And Mapping (Except Geophysical) Services,11,1,9.090909090909090909,51,1
56143X,Business Service Centers,11,1,9.090909090909090909,51,1
238142,Nonresidential Masonry Contractors,86,8,9.302325581395348837,52,4
53121X,Offices Of Real Estate Agents And Brokers,96,9,9.375,52,6
5312XX,Offices Of Real Estate Agents And Brokers,96,9,9.375,52,6
531312,Nonresidential Property Managers,32,3,9.375,52,3
6116XX,Other Schools And Instruction,64,6,9.375,52,2
72121X,Rv (Recreational Vehicle) Parks And Recreational Camps,64,6,9.375,50,5
7212XX,Rv (Recreational Vehicle) Parks And Recreational Camps,64,6,9.375,50,5
3251XX,Basic Chemical Manufacturing,74,7,9.459459459459459459,49,4
322XXX,Paper Manufacturing,137,13,9.489051094890510949,50,5
42312X,Motor Vehicle Supplies And New Parts Merchant Wholesalers,21,2,9.52380952380952381,52,2
4512XX,"Book, Periodical, And Music Stores",21,2,9.52380952380952381,52,1
45322X,"Gift, Novelty, And Souvenir Stores",21,2,9.52380952380952381,52,2
52211X,Commercial Banking,63,6,9.52380952380952381,52,4
48811X,Airport Operations,52,5,9.615384615384615385,52,2
53211X,Passenger Car Rental And Leasing,31,3,9.677419354838709677,50,3
71131X,"Promoters Of Performing Arts, Sports, And Similar Events With Facilities",31,3,9.677419354838709677,52,3
48111X,Scheduled Air Transportation,103,10,9.708737864077669903,51,5
4811XX,Scheduled Air Transportation,103,10,9.708737864077669903,51,5
4251XX,Wholesale Electronic Markets And Agents And Brokers,72,7,9.722222222222222222,52,2
425XXX,Wholesale Electronic Markets And Agents And Brokers,72,7,9.722222222222222222,52,2
33299X,All Other Fabricated Metal Product Manufacturing,41,4,9.756097560975609756,43,3
11241X,Sheep Farming,10,1,10,15,1
238292,Other Nonresidential Building Equipment Contractors,60,6,10,52,3
5321XX,Automotive Equipment Rental And Leasing,70,7,10,52,5
81141X,Home And Garden Equipment And Appliance Repair And Maintenance,30,3,10,51,2
